nounId,nominative,genitive,transformationType,isSlender,syllableCount,nomSuffix,genSuffix,has ea
3680,"bonnóg","bonnóige","palatalized alt + e",false,2,"óg","óige","no"
3686,"bonsach","bonsaí","aí",false,2,"ach","aí","no"
3706,"borróg","borróige","palatalized alt + e",false,2,"óg","óige","no"
3707,"borrphéist","borrphéiste","+e",true,2,"t","te","no"
3715,"bos","boise","palatalized alt + e",false,1,"os","oise","no"
3725,"bosóg","bosóige","palatalized alt + e",false,2,"óg","óige","no"
3796,"bradóg","bradóige","palatalized alt + e",false,2,"óg","óige","no"
3802,"braich","braiche","+e",true,1,"h","he","no"
3815,"braillín","braillíne","+e",true,2,"n","ne","no"
3824,"braistint","braistinte","+e",true,2,"t","te","no"
3825,"braiteog","braiteoige","palatalized alt + e",false,2,"og","oige","no"
3853,"bratach","brataí","aí",false,2,"ach","aí","no"
3854,"bratainn","bratainne","+e",true,2,"n","ne","no"
3867,"bratóg","bratóige","palatalized alt + e",false,2,"óg","óige","no"
3892,"breab","breibe","palatalized alt + e",false,1,"eab","eibe","yes"
3935,"breall","breille","palatalized alt + e",false,1,"eall","eille","yes"
3959,"breis","breise","+e",true,1,"s","se","no"
3961,"breischéim","breischéime","+e",true,2,"m","me","no"
3971,"breith","breithe","+e",true,1,"h","he","no"
3982,"breochloch","breochloiche","palatalized alt + e",false,2,"och","oiche","no"
3983,"breochruimh","breochruimhe","+e",true,2,"h","he","no"
3994,"bréag","bréige","palatalized alt + e",false,1,"éag","éige","no"
4019,"bréifin","bréifine","+e",true,2,"n","ne","no"
4035,"brilléis","brilléise","+e",true,2,"s","se","no"
4046,"briogáid","briogáide","+e",true,2,"d","de","no"
4051,"brionglóid","brionglóide","+e",true,2,"d","de","no"
4058,"brioscarnach","brioscarnaí","aí",false,3,"ach","aí","no"
4063,"brioscóid","brioscóide","+e",true,2,"d","de","no"
4070,"bris","brise","+e",true,1,"s","se","no"
4090,"brídeach","brídí","í",false,2,"deach","dí","yes"
4091,"brídeog","brídeoige","palatalized alt + e",false,2,"og","oige","no"
4104,"brocach","brocaí","aí",false,2,"ach","aí","no"
4110,"brocais","brocaise","+e",true,2,"s","se","no"
4124,"broid","broide","+e",true,1,"d","de","no"
4126,"broidearnach","broidearnaí","aí",false,3,"ach","aí","no"
4141,"broinn","broinne","+e",true,1,"n","ne","no"
4174,"bróg","bróige","palatalized alt + e",false,1,"óg","óige","no"
4181,"bróimíd","bróimíde","+e",true,2,"d","de","no"
4186,"bróis","bróise","+e",true,1,"s","se","no"
4218,"bruinneall","bruinnille","palatalized + e",false,2,"neall","nille","yes"
4219,"bruis","bruise","+e",true,1,"s","se","no"
4224,"bruithean","bruithne","syncope + e",false,2,"hean","hne","yes"
4233,"bruitíneach","bruitíní","í",false,3,"neach","ní","yes"
4234,"bruíon","bruíne","íne",false,1,"íon","íne","no"
4239,"brusc-charraig","brusc-charraige","+e",true,2,"g","ge","no"
4248,"bruthcharraig","bruthcharraige","+e",true,3,"g","ge","no"
4260,"brúdlann","brúdlainne","palatalized alt + e",false,2,"ann","ainne","no"
4262,"brúid","brúide","+e",true,1,"d","de","no"
4276,"brúshlat","brúshlaite","palatalized alt + e",false,2,"at","aite","no"
4285,"buac","buaice","palatalized alt + e",false,1,"ac","aice","no"
4297,"buaf","buaife","palatalized alt + e",false,1,"af","aife","no"
4302,"buaic","buaice","+e",true,1,"c","ce","no"
4329,"bualtrach","bualtraí","aí",false,2,"ach","aí","no"
4352,"buanseilbh","buanseilbhe","+e",true,2,"h","he","no"
4354,"buantonn","buantoinne","palatalized alt + e",false,2,"onn","oinne","no"
4358,"buarach","buaraí","aí",false,2,"ach","aí","no"
4361,"buatais","buataise","+e",true,2,"s","se","no"
4383,"buimpéis","buimpéise","+e",true,2,"s","se","no"
4386,"buinneach","buinní","í",false,2,"neach","ní","yes"
4390,"buinneog","buinneoige","palatalized alt + e",false,2,"og","oige","no"
4392,"buirg","buirge","+e",true,1,"g","ge","no"
4414,"buíon","buíne","íne",false,1,"íon","íne","no"
4416,"buíóg","buíóige","palatalized alt + e",false,1,"óg","óige","no"
4421,"bulcaid","bulcaide","+e",true,2,"d","de","no"
4433,"bumbóg","bumbóige","palatalized alt + e",false,2,"óg","óige","no"
4447,"bunaois","bunaoise","+e",true,2,"s","se","no"
4452,"bunáit","bunáite","+e",true,2,"t","te","no"
4453,"bunáite","bunáite","unknown",true,3,"e","e","no"
4460,"buncharraig","buncharraige","+e",true,3,"g","ge","no"
4464,"bunchéim","bunchéime","+e",true,2,"m","me","no"
4469,"bunchloch","bunchloiche","palatalized alt + e",false,2,"och","oiche","no"
4474,"bunchóip","bunchóipe","+e",true,2,"p","pe","no"
4507,"bunóc","bunóice","palatalized alt + e",false,2,"óc","óice","no"
4521,"bunscoil","bunscoile","+e",true,2,"l","le","no"
4528,"bunsócmhainn","bunsócmhainne","+e",true,3,"n","ne","no"
4529,"bunsprioc","bunsprice","palatalized alt + e",false,2,"ioc","ice","no"
4530,"bunsraith","bunsraithe","+e",true,2,"h","he","no"
4532,"bunstaid","bunstaide","+e",true,2,"d","de","no"
4563,"burgúin","burgúine","+e",true,2,"n","ne","no"
4577,"butrach","butraí","aí",false,2,"ach","aí","no"
4585,"búir","búire","+e",true,1,"r","re","no"
4586,"búireach","búirí","í",false,2,"reach","rí","yes"
4646,"cadhain","caidhne","palatalized alt syncope + e",true,2,"adhain","aidhne","no"
4655,"cadóg","cadóige","palatalized alt + e",false,2,"óg","óige","no"
4677,"caibidil","caibidle","syncope + e",true,3,"dil","dle","no"
4686,"caibléireog","caibléireoige","palatalized alt + e",false,3,"og","oige","no"
4688,"caid","caide","+e",true,1,"d","de","no"
4694,"caidéis","caidéise","+e",true,2,"s","se","no"
4698,"caidhp","caidhpe","+e",true,1,"p","pe","no"
4714,"caiféin","caiféine","+e",true,2,"n","ne","no"
4720,"cailc","cailce","+e",true,1,"c","ce","no"
4730,"caileann","caille","exception",false,2,"leann","lle","yes"
4741,"cailís","cailíse","+e",true,2,"s","se","no"
4742,"caill","caille","+e",true,1,"l","le","no"
4744,"cailleach","caillí","í",false,2,"leach","lí","yes"
4771,"caimseog","caimseoige","palatalized alt + e",false,2,"og","oige","no"
4779,"caingean","caingne","syncope + e",false,2,"gean","gne","yes"
4783,"cainneann","cainninne","palatalized + e",false,2,"neann","ninne","yes"
4788,"caint","cainte","+e",true,1,"t","te","no"
4790,"caintic","caintice","+e",true,2,"c","ce","no"
4800,"cairbíd","cairbíde","+e",true,2,"d","de","no"
4829,"cairt","cairte","+e",true,1,"t","te","no"
4831,"cairteitilt","cairteitilte","+e",true,3,"t","te","no"
4855,"caismirneach","caismirní","í",false,3,"neach","ní","yes"
4856,"caismirt","caismirte","+e",true,2,"t","te","no"
4857,"caismír","caismíre","+e",true,2,"r","re","no"
4875,"caithréim","caithréime","+e",true,2,"m","me","no"
4879,"caiticéis","caiticéise","+e",true,3,"s","se","no"
4896,"calaois","calaoise","+e",true,2,"s","se","no"
4919,"callóid","callóide","+e",true,2,"d","de","no"
4928,"calóg","calóige","palatalized alt + e",false,2,"óg","óige","no"
4934,"cam-mhuin","cam-mhuine","+e",true,1,"n","ne","no"
4953,"camchuairt","camchuairte","+e",true,2,"t","te","no"
4958,"camhaoir","camhaoire","+e",true,2,"r","re","no"
4961,"camóg","camóige","palatalized alt + e",false,2,"óg","óige","no"
4974,"camscéim","camscéime","+e",true,2,"m","me","no"
5016,"cantaoir","cantaoire","+e",true,2,"r","re","no"
5017,"cantarlann","cantarlainne","palatalized alt + e",false,3,"ann","ainne","no"
5020,"cantáid","cantáide","+e",true,2,"d","de","no"
5041,"caochneantóg","caochneantóige","palatalized alt + e",false,3,"óg","óige","no"
5042,"caochóg","caochóige","palatalized alt + e",false,2,"óg","óige","no"
5045,"caochshráid","caochshráide","+e",true,2,"d","de","no"
5050,"caochthuairim","caochthuairime","+e",true,3,"m","me","no"
5097,"caolchúis","caolchúise","+e",true,2,"s","se","no"
5106,"caolsráid","caolsráide","+e",true,2,"d","de","no"
5120,"caor","caoire","palatalized alt + e",false,1,"or","oire","no"
5125,"caoróg","caoróige","palatalized alt + e",false,2,"óg","óige","no"
5156,"carbaihiodráit","carbaihiodráite","+e",true,4,"t","te","no"
5174,"carbónáit","carbónáite","+e",true,3,"t","te","no"
